time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
18.78,-0.004906629212200642,0.000507290824316442,0.5032452940940857,0.0,0.0,0.0,0.19303950667381287,-0.18839764595031738,-0.5105417966842651,37070.0,45022.0,38666.0,41526.0,0,0,0,0,40571.328125,-2403.0,-3308.0,-2702.0
18.8,-0.004797055851668119,0.0006372017087414861,0.5029399394989014,0.0,0.0,0.0,0.17946529388427734,-0.15916533768177032,-0.5092673301696777,38630.0,43438.0,37168.0,43032.0,0,0,0,0,40567.84375,-2075.0,466.0,-2687.0
18.82,-0.004648309201002121,0.0007173153571784496,0.5027043223381042,0.0,0.0,0.0,0.1698531061410904,-0.13619910180568695,-0.5279837250709534,37890.0,46120.0,38142.0,40628.0,0,0,0,0,40695.03125,-763.0,-1950.0,-2699.0
18.84,-0.004451638553291559,0.0008202107273973525,0.5026002526283264,0.0,0.0,0.0,0.12679754197597504,-0.1295110583305359,-0.5252243280410767,38524.0,44752.0,37444.0,42148.0,0,0,0,0,40717.4765625,-2238.0,-2758.0,-2697.0
18.861,-0.0042179422453045845,0.0007562655955553055,0.5020824670791626,0.0,0.0,0.0,0.1179458498954773,-0.1240718737244606,-0.5329195857048035,37871.0,44889.0,38297.0,41931.0,0,0,0,0,40747.81640625,-2418.0,-4172.0,-2716.0
18.88,-0.003978933207690716,0.0008793877786956728,0.5026432275772095,0.0,0.0,0.0,0.15078963339328766,-0.13084237277507782,-0.5142370462417603,37291.0,43839.0,38387.0,42795.0,0,0,0,0,40578.59375,-1530.0,-2014.0,-2749.0
18.9,-0.003858168376609683,0.001063111936673522,0.5027099251747131,0.0,0.0,0.0,0.19297397136688232,-0.1064453125,-0.5090122818946838,36529.0,44905.0,39197.0,41637.0,0,0,0,0,40567.35546875,-148.0,-3883.0,-2642.0
18.92,-0.0036777546629309654,0.0011857915669679642,0.5027467012405396,0.0,0.0,0.0,0.1875203549861908,-0.07035227864980698,-0.49976155161857605,37891.0,45173.0,38161.0,42035.0,0,0,0,0,40815.51953125,-996.0,-2783.0,-2677.0
18.94,-0.003927011974155903,0.0011419837828725576,0.5014789700508118,0.0,0.0,0.0,0.12134020030498505,0.04518353193998337,-0.49009832739830017,36662.0,44920.0,39756.0,42306.0,0,0,0,0,40911.7421875,-360.0,-1414.0,-2718.0
18.96,-0.0037515037693083286,0.001181033905595541,0.5012586712837219,0.0,0.0,0.0,0.08966362476348877,0.06874610483646393,-0.4960539937019348,39207.0,44429.0,37361.0,43175.0,0,0,0,0,41043.4765625,-809.0,-3294.0,-2810.0
