time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,target.x,target.y,target.z,target.vx,target.vy,target.vz,target.ax,target.ay,target.az,target.roll,target.pitch,target.yaw,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
0.68,-0.039365146309137344,-0.058733802288770676,0.07795701175928116,0.0,0.0,0.0,-3.8843164443969727,-2.4130606651306152,-2.1814324855804443,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32053.0,37659.0,32721.0,33503.0,0,0,0,0,35386.89453125,-22.0,-3687.0,-1463.0
0.7,-0.04141008481383324,-0.059034425765275955,0.08611093461513519,0.0,0.0,0.0,-4.148063659667969,-2.797442674636841,-2.1749331951141357,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34530.0,38364.0,33230.0,35596.0,0,0,0,0,35512.3203125,-1048.0,-934.0,-1389.0
0.72,-0.04364044964313507,-0.06000246852636337,0.10059092938899994,0.0,0.0,0.0,-4.315814971923828,-3.214938163757324,-2.1569690704345703,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34334.0,38886.0,34204.0,35248.0,0,0,0,0,35814.8203125,-2256.0,-927.0,-1045.0
0.74,-0.044518232345581055,-0.05977357178926468,0.1085972934961319,0.0,0.0,0.0,-4.423795700073242,-3.6915504932403564,-2.137667179107666,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35515.0,39575.0,33943.0,35291.0,0,0,0,0,36246.33203125,-2288.0,-2640.0,-806.0
0.76,-0.04528626799583435,-0.059383947402238846,0.11543148756027222,0.0,0.0,0.0,-4.392168045043945,-4.131319046020508,-2.0977299213409424,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35054.0,40530.0,34982.0,35118.0,0,0,0,0,36581.8203125,-2751.0,-2032.0,-819.0
0.78,-0.046401288360357285,-0.059175338596105576,0.12227010726928711,0.0,0.0,0.0,-4.238816261291504,-4.411657333374023,-2.043675422668457,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33663.0,41115.0,36899.0,34631.0,0,0,0,0,36734.32421875,-356.0,-2881.0,-514.0
0.8,-0.04763924703001976,-0.05837787687778473,0.129625603556633,0.0,0.0,0.0,-4.051279067993164,-4.506831169128418,-1.9916945695877075,0.0,0.0,0.3499999940395355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38040.0,42548.0,38114.0,38926.0,0,0,0,0,39562.3515625,-2231.0,-2147.0,-714.0
0.82,-0.046929702162742615,-0.056438468396663666,0.13561469316482544,0.0,0.0,0.0,-3.9013657569885254,-4.549690246582031,-1.9217206239700317,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.0,43272.0,39366.0,38620.0,0,0,0,0,39793.109375,-616.0,-1244.0,-616.0
0.84,-0.046744074672460556,-0.05509224906563759,0.1414952129125595,0.0,0.0,0.0,-3.6851985454559326,-4.511850357055664,-1.862676739692688,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38584.0,43214.0,38414.0,39192.0,0,0,0,0,39851.91796875,-1336.0,-2987.0,-908.0
0.86,-0.04602361097931862,-0.05371590331196785,0.14697003364562988,0.0,0.0,0.0,-3.4220519065856934,-4.39611291885376,-1.7935945987701416,0.0,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38283.0,43167.0,38763.0,38999.0,0,0,0,0,39958.60546875,-2111.0,-4197.0,-759.0
