time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,motor.m1,motor.m2,motor.m3,motor.m4,stabilizer.thrust,stabilizer.roll,stabilizer.pitch,stabilizer.yaw
9.24,0.004348553251475096,0.02642340585589409,0.5151463747024536,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-2.8587024211883545,0.904564619064331,-1.368430495262146,42010.0,43370.0,40718.0,39158.0,41314.23828125,-2.488615036010742,0.896922767162323,-1.4126560688018799
9.26,0.005249189678579569,0.029582133516669273,0.5122886300086975,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-2.0886762142181396,0.842995822429657,-1.4157882928848267,40643.0,41721.0,42605.0,41211.0,41545.796875,-1.6740368604660034,0.7815257906913757,-1.4552443027496338
9.28,0.00627111503854394,0.033747848123311996,0.511892557144165,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-1.3106515407562256,0.7405198216438293,-1.4645864963531494,40591.0,41713.0,42099.0,41165.0,41392.21484375,-0.9235469698905945,0.7151283025741577,-1.4982303380966187
9.3,0.006737566087394953,0.0335923433303833,0.5100991129875183,-0.04109066352248192,0.4967169761657715,0.5413889288902283,-0.592674195766449,0.7078744769096375,-1.4894906282424927,40391.0,44293.0,42677.0,38639.0,41500.734375,-0.25040096044540405,0.7077434659004211,-1.5245531797409058
9.32,0.005892764776945114,0.03656820207834244,0.5098605155944824,-0.04109066352248192,0.4967169761657715,0.5413889288902283,0.14624030888080597,0.711556077003479,-1.523382544517517,41976.0,42290.0,40510.0,40420.0,41299.5390625,0.4758929908275604,0.652302622795105,-1.557480812072754
9.34,0.007311999332159758,0.04218551516532898,0.5106638073921204,-0.04109066352248192,0.4967169761657715,0.5413889288902283,0.7902055978775024,0.5900341868400574,-1.5696200132369995,40609.0,43951.0,41551.0,37717.0,40957.11328125,1.0558520555496216,0.5420520901679993,-1.59577214717865
9.36,-0.0058221095241606236,0.04633473977446556,0.5112363696098328,-0.008367588743567467,0.04598291963338852,0.5237500667572021,1.367045283317566,0.5445728302001953,-1.6070982217788696,37850.0,42092.0,43538.0,39212.0,40673.00390625,1.6468838453292847,0.5462005138397217,-1.637581467628479
9.381,-0.006052768789231777,0.04826916754245758,0.5137104988098145,-0.008085817098617554,0.04981536790728569,0.5263857841491699,1.9164292812347412,0.5383062958717346,-1.6594972610473633,42149.0,42143.0,37725.0,38031.0,40012.171875,2.133254289627075,0.4856163263320923,-1.7605715990066528
9.4,-0.007114419247955084,0.05087903514504433,0.514780580997467,-0.008085817098617554,0.04981536790728569,0.5263857841491699,2.419182062149048,0.37393200397491455,-1.7395808696746826,39736.0,42718.0,39902.0,37008.0,39841.171875,2.673309087753296,0.24038910865783691,-1.7537295818328857
9.42,-0.007645094767212868,0.052594058215618134,0.5160040855407715,-0.00808914564549923,0.05166659876704216,0.5271161794662476,2.9243733882904053,0.0916772410273552,-1.745046854019165,39102.0,40800.0,39940.0,38722.0,39641.29296875,3.1300315856933594,-0.01904161274433136,-1.7709457874298096
9.44,-0.008290495723485947,0.05399700999259949,0.5172381401062012,-0.00808914564549923,0.05166659876704216,0.5271161794662476,3.2891945838928223,-0.10008633136749268,-1.742812991142273,40222.0,42156.0,38574.0,37624.0,39644.109375,3.4506797790527344,-0.16421253979206085,-1.7643096446990967
9.46,-0.008420489728450775,0.05506618320941925,0.518438458442688,-0.007932614535093307,0.05438801273703575,0.5296025276184082,3.5864365100860596,-0.233828604221344,-1.7462581396102905,39868.0,41004.0,39452.0,38144.0,39617.11328125,3.709669828414917,-0.2865343689918518,-1.7672650814056396
