time,x_kalman,y_kalman,z_kalman,x_lh,y_lh,z_lh,roll,pitch,yaw,F,R,Z,B,C,X,S,T,Y,motor.m1,motor.m2,motor.m3,motor.m4,rpm.m1,rpm.m2,rpm.m3,rpm.m4,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw
10.5,2.0263097286224365,-0.21292957663536072,0.5121248960494995,0.0,0.0,0.0,0.26913002133369446,0.07220372557640076,0.9119293689727783,-0.01707005500793457,2.858581066131592,0.5120661854743958,1.2645750045776367,3.1595752239227295,2.026393413543701,-3.2383081912994385,2.8296921253204346,-0.2193506807088852,35486.0,42518.0,37318.0,36738.0,0,0,0,0,38015.52734375,-2078.0,-2223.0,-1625.0
10.52,2.024401903152466,-0.22432799637317657,0.5120165348052979,0.0,0.0,0.0,0.2579379081726074,0.07837189733982086,0.8817890286445618,-0.017069553956389427,2.85858154296875,0.5119830369949341,1.263681411743164,3.158681631088257,2.0243284702301025,-3.239351749420166,2.828648567199707,-0.23147183656692505,35846.0,40620.0,36538.0,38180.0,0,0,0,0,37796.1875,-1661.0,-1035.0,-1600.0
10.54,2.0243332386016846,-0.2367270439863205,0.5127987861633301,0.0,0.0,0.0,0.45794323086738586,0.0811440572142601,0.8816003799438477,-0.01706935279071331,2.8585968017578125,0.5128307342529297,1.2647149562835693,3.159714937210083,2.0243966579437256,-3.239386558532715,2.828613758087158,-0.24256134033203125,34862.0,40200.0,37384.0,38538.0,0,0,0,0,37746.85546875,-564.0,-2550.0,-1557.0
10.56,2.024076223373413,-0.25039079785346985,0.5129835605621338,0.0,0.0,0.0,0.6105983257293701,0.0799548476934433,0.8861325979232788,-0.01706998236477375,2.8585851192474365,0.5129835605621338,1.2026139497756958,3.161614179611206,2.0253491401672363,-3.2449586391448975,2.8200418949127197,-0.2563408315181732,33930.0,38890.0,38170.0,40078.0,0,0,0,0,37767.94140625,1859.0,-507.0,-1643.0
10.58,2.0253820419311523,-0.2590170204639435,0.5130853652954102,0.0,0.0,0.0,0.49577465653419495,0.03290596231818199,0.8824173808097839,-0.017070846632122993,2.8585658073425293,0.5121397972106934,1.2036532163619995,3.1626534461975098,2.025531768798828,-3.244938850402832,2.820061683654785,-0.2674395442008972,34882.0,41474.0,37362.0,38294.0,0,0,0,0,38003.58984375,-743.0,-2452.0,-1751.0
10.6,2.0255844593048096,-0.2689269483089447,0.5121241807937622,0.0,0.0,0.0,0.3021028935909271,0.014878405258059502,0.8595720529556274,-0.017072202637791634,2.8585641384124756,0.5121241807937622,1.2045159339904785,3.163516044616699,2.025617837905884,-3.2436392307281494,2.8213613033294678,-0.277070552110672,36135.0,41567.0,35795.0,38939.0,0,0,0,0,38109.234375,-1361.0,-1657.0,-1743.0
10.621,2.025239944458008,-0.28021782636642456,0.5115330219268799,0.0,0.0,0.0,0.2815176844596863,0.04319839924573898,0.8235505819320679,-0.017072739079594612,2.8586127758026123,0.5115330219268799,1.0351804494857788,3.1641805171966553,2.025627374649048,-3.2354485988616943,2.8405518531799316,-0.2815801799297333,35333.0,42231.0,38015.0,37829.0,0,0,0,0,38352.734375,-273.0,-1300.0,-1698.0
10.64,2.025500774383545,-0.2853895127773285,0.5103837847709656,0.0,0.0,0.0,0.3437684178352356,0.05526408925652504,0.8190791606903076,-0.017073092982172966,2.8585877418518066,0.5102213621139526,1.035607933998108,3.1646080017089844,2.025197744369507,-3.234058380126953,2.841942071914673,-0.291614294052124,35713.0,39985.0,37693.0,40165.0,0,0,0,0,38389.62109375,404.0,-1049.0,-1658.0
10.66,2.0250778198242188,-0.2980218529701233,0.510062038898468,0.0,0.0,0.0,0.46639078855514526,0.10271470993757248,0.8174917697906494,-0.01707291603088379,2.8585879802703857,0.5099105834960938,1.0362277030944824,3.1652276515960693,2.0250661373138428,-3.2352261543273926,2.8407742977142334,-0.3038996756076813,33341.0,39979.0,39685.0,40271.0,0,0,0,0,38319.02734375,1488.0,-2732.0,-1747.0
10.682,2.025024890899658,-0.3075680434703827,0.5100584626197815,0.0,0.0,0.0,0.395780473947525,0.1367737501859665,0.8137725591659546,-0.017073573544621468,2.8585636615753174,0.5099382400512695,-0.28563255071640015,3.167367458343506,2.024977684020996,-3.24250864982605,2.830491542816162,-0.31606215238571167,35945.0,41299.0,37431.0,39629.0,0,0,0,0,38576.16015625,-109.0,-1581.0,-1928.0
